symbol,vol_state,state,label,count_1,avg_forward_return_1,win_rate_1,avg_win_1,avg_loss_1,ci_low_1,ci_high_1,ev_after_cost_1,count_5,avg_forward_return_5,win_rate_5,avg_win_5,avg_loss_5,ci_low_5,ci_high_5,ev_after_cost_5,count_10,avg_forward_return_10,win_rate_10,avg_win_10,avg_loss_10,ci_low_10,ci_high_10,ev_after_cost_10,count_20,avg_forward_return_20,win_rate_20,avg_win_20,avg_loss_20,ci_low_20,ci_high_20,ev_after_cost_20
GLD,1,8,BREAKOUT_RETEST,11,-0.009759959661591398,0.45454545454545453,0.002580694223971225,-0.02004383789956025,-0.028125671860146872,0.008605752536964075,-0.010259959661591399,11,-0.008982935224185806,0.36363636363636365,0.023195887235609614,-0.02737083377264033,-0.03483296565096732,0.01686709520259571,-0.009482935224185807,11,0.005192458835104158,0.36363636363636365,0.0468734897504971,-0.018625273116548952,-0.020815220906215216,0.031200138576423536,0.004692458835104158,11,0.05198111338271502,0.8181818181818182,0.06881101851943663,-0.023753459732532234,0.017626046186812627,0.08633618057861742,0.05148111338271502
GLD,1,9,FAILED_BREAKOUT,15,0.0034274221632142774,0.4666666666666667,0.013492542865365578,-0.005379558451168109,-0.00310008799819423,0.009954932324622785,0.0029274221632142774,15,0.02386697888223958,0.8666666666666667,0.03008241377431812,-0.016533347916270924,0.012239377312213863,0.0354945804522653,0.02336697888223958,15,0.03948820270093638,0.8666666666666667,0.04805920856620052,-0.016223335423280527,0.018452544392702632,0.06052386100917012,0.03898820270093638,15,0.0907917701426603,0.8,0.11643099084542519,-0.011765112668399302,0.050498390713512434,0.13108514957180817,0.0902917701426603
GLD,1,10,CONTINUATION,6,0.0037357805880024277,0.8333333333333334,0.004936911975897384,-0.0022698763514723552,0.0005432866872204017,0.006928274488784454,0.0032357805880024277,6,0.006145336160976234,0.6666666666666666,0.01305476687672319,-0.007673525270517678,-0.005832742385448076,0.018123414707400545,0.005645336160976233,6,0.016279885343782125,0.6666666666666666,0.02730836600511527,-0.005777075978884161,-0.0019697349120559315,0.03452950559962018,0.015779885343782125,6,0.0292120111964753,0.8333333333333334,0.0361771979413442,-0.005613922527869186,-0.0010611280116208897,0.05948515040457149,0.0287120111964753
GLD,1,11,CHOP_OR_NO_EDGE,87,0.0008216140197844454,0.5057471264367817,0.009064806171512356,-0.00779454885298326,-0.0015035539914168344,0.003146782030985725,0.00032161401978444536,87,0.00404583195281803,0.5977011494252874,0.019628401106331995,-0.019105413646688434,-0.0006736518653082148,0.008765315770944275,0.00354583195281803,87,0.007239849868788302,0.5862068965517241,0.026039064928446164,-0.019392371465727,0.0013455818570390172,0.013134117880537588,0.006739849868788303,87,0.018378810069280774,0.735632183908046,0.03409182767566955,-0.025344369357192333,0.011379826285037288,0.02537779385352426,0.017878810069280774
GLD,2,0,FAR_FROM_LEVEL,348,0.0007624470446195084,0.5057471264367817,0.008823498264758126,-0.007529848672923049,-0.0003963227069448311,0.001921216796183848,0.00026244704461950835,348,0.0013023727781552336,0.5316091954022989,0.01744306544177395,-0.017016818281780123,-0.0012441482391219,0.0038488937954323675,0.0008023727781552336,348,0.003944116357827521,0.603448275862069,0.024235175266725254,-0.026933581981799466,0.000355692527978224,0.007532540187676818,0.003444116357827521,348,0.006461639567525914,0.5718390804597702,0.0349289662100994,-0.03177171423182948,0.0018700582875879656,0.011053220847463862,0.005961639567525915
GLD,2,1,APPROACHING_SUPPORT,7,0.005893542216752328,0.5714285714285714,0.017148150289114428,-0.009112601879730472,-0.008318588215441689,0.020105672648946346,0.005393542216752327,7,0.007867038051679986,0.42857142857142855,0.045555916307913856,-0.020399620640495414,-0.023844912598509363,0.039578988701869336,0.007367038051679986,7,-0.005581194354572986,0.2857142857142857,0.07575830507480563,-0.03811699412632443,-0.04822223909544295,0.03705985038629698,-0.006081194354572985,7,-0.026940941431352856,0.2857142857142857,0.0765323719108828,-0.06833026676824712,-0.08789312986666434,0.03401124700395863,-0.027440941431352856
GLD,2,2,TOUCHING_SUPPORT,5,0.0025585730104968453,0.4,0.009364956547549319,-0.001979016014204804,-0.003993681474786872,0.009110827495780563,0.0020585730104968453,5,0.011305099928925744,0.4,0.05541444719521693,-0.018101131581935048,-0.03776094235443592,0.0603711422122874,0.010805099928925744,5,-0.003937795762238294,0.2,0.10040567951318469,-0.03002366458109404,-0.055183388466336844,0.047307796941860256,-0.004437795762238295,5,0.011586197489936412,0.4,0.09768211953434702,-0.045811083873004,-0.06630003971629471,0.08947243469616754,0.011086197489936412
GLD,2,3,SUPPORT_RECLAIM,3,0.0028432681417578745,0.6666666666666666,0.008743110929150144,-0.008956417433026664,-0.011994468313425368,0.017681004596941118,0.0023432681417578744,3,-0.0044732892506009385,0.6666666666666666,0.017040565924178575,-0.047500999600159965,-0.04939313592375592,0.040446557422554034,-0.004973289250600938,3,0.024446239230657734,0.6666666666666666,0.058820498390168896,-0.04430227908836459,-0.045393117202063,0.09428559566337848,0.023946239230657734,3,0.04887220102155839,1.0,0.04887220102155839,,0.019454837146446607,0.07828956489667017,0.04837220102155839
GLD,2,4,SUPPORT_BREAKDOWN,6,-0.009366286903140175,0.6666666666666666,0.012848527440963098,-0.05379591559134672,-0.04253262966218539,0.023800055855905042,-0.009866286903140176,6,-0.005624153016829965,0.5,0.02984292069411132,-0.04109122672777125,-0.04215623357417055,0.03090792754051062,-0.006124153016829965,6,0.02557602022677406,0.6666666666666666,0.0547884633226669,-0.03284886596501163,-0.015616075832872455,0.06676811628642057,0.02507602022677406,6,0.03951864659986012,0.8333333333333334,0.053466141116080834,-0.03021882598124348,-0.0037476211863965714,0.0827849143861168,0.03901864659986012
GLD,2,5,APPROACHING_RESISTANCE,9,-0.00409432086887138,0.2222222222222222,0.016534770022479384,-0.00998834683782874,-0.012581237152214035,0.004392595414471276,-0.00459432086887138,9,0.003516210582984779,0.5555555555555556,0.02995652500442274,-0.029534182443812673,-0.019653993634535134,0.026686414800504696,0.003016210582984779,9,-0.010356260444597995,0.6666666666666666,0.021726405094580053,-0.07452159152295408,-0.04591959932963331,0.02520707844043732,-0.010856260444597995,9,-0.009502091607133358,0.5555555555555556,0.03323721548132404,-0.0629262254677051,-0.05245409855621298,0.033449915341946274,-0.010002091607133359
