symbol,state,label,count_1,avg_forward_return_1,win_rate_1,avg_win_1,avg_loss_1,ci_low_1,ci_high_1,ev_after_cost_1,count_5,avg_forward_return_5,win_rate_5,avg_win_5,avg_loss_5,ci_low_5,ci_high_5,ev_after_cost_5,count_10,avg_forward_return_10,win_rate_10,avg_win_10,avg_loss_10,ci_low_10,ci_high_10,ev_after_cost_10,count_20,avg_forward_return_20,win_rate_20,avg_win_20,avg_loss_20,ci_low_20,ci_high_20,ev_after_cost_20
IWM,5,APPROACHING_RESISTANCE,303,0.0001120426164035237,0.5181518151815182,0.007007934406180954,-0.007353770958621669,-0.001004193583984294,0.0012282788167913413,-0.0003879573835964763,302,0.0012317877928186265,0.5728476821192053,0.016078472829114083,-0.018678882837252022,-0.001383808573400222,0.003847384159037475,0.0007317877928186265,301,0.003071453760044969,0.5681063122923588,0.021791571594255644,-0.021719776440652556,-0.00010176337386943362,0.006244670893959371,0.002571453760044969,298,0.007058756632916639,0.5503355704697986,0.034289451082565314,-0.02626836194725039,0.0026572566497130874,0.01146025661612019,0.006558756632916638
IWM,6,COMPRESSION_BELOW_RESISTANCE,143,-0.0011767125134134354,0.4965034965034965,0.005410576896583058,-0.007780575339091808,-0.0025325764097659373,0.00017915138293906631,-0.0016767125134134354,143,-0.002339980684622514,0.5244755244755245,0.013326722099997943,-0.01961943228530684,-0.00586355355476458,0.001183592185519553,-0.002839980684622514,143,-0.004117993107656062,0.5034965034965035,0.016602047552690846,-0.025129865326599412,-0.008846980016192095,0.0006109938008799706,-0.004617993107656062,143,-0.008520847904047509,0.5034965034965035,0.020320385053002467,-0.037768295409788336,-0.016661693113894514,-0.00038000269420050345,-0.009020847904047509
IWM,7,RESISTANCE_BREAKOUT,38,0.002470135835188803,0.6052631578947368,0.008600013166280172,-0.0069290094058179616,-0.0010219231769292925,0.005962194847306899,0.001970135835188803,38,0.002167545943063623,0.5263157894736842,0.015997185891286913,-0.013198720666073367,-0.0036350170447886003,0.007970108930915846,0.0016675459430636232,37,0.003443158550762733,0.5945945945945946,0.01795443287793541,-0.017840043795757196,-0.004096900757173428,0.010983217858698893,0.002943158550762733,37,0.006697694677236207,0.5675675675675675,0.03300340891982158,-0.027828555266157094,-0.006870593597904918,0.02026598295237733,0.0061976946772362065
IWM,8,BREAKOUT_RETEST,89,-0.00039097354314499884,0.48314606741573035,0.006153521522696029,-0.006508653713387698,-0.0021422659745860464,0.0013603188882960486,-0.0008909735431449988,89,-0.003271107491814345,0.43820224719101125,0.011253806159934742,-0.014600540140178633,-0.006659327179564,0.00011711219593531046,-0.003771107491814345,89,-0.002852410471356356,0.4606741573033708,0.01381556862496079,-0.017089642616127252,-0.007083924225338505,0.0013791032826257926,-0.003352410471356356,88,0.005302635734923528,0.5113636363636364,0.03440700985706746,-0.025155430206855005,-0.0032105696574959916,0.013815841127343048,0.004802635734923528
IWM,9,FAILED_BREAKOUT,101,0.0003203137585896883,0.5148514851485149,0.007829262905850258,-0.007648366969115405,-0.001597648551428233,0.0022382760686076096,-0.0001796862414103117,98,0.0023784391517602923,0.5,0.018789828756315328,-0.014032950452794743,-0.0015757345712280914,0.006332612874748676,0.0018784391517602922,96,0.005442038039021658,0.5416666666666666,0.025919055366348552,-0.018758073347819218,-0.0003624921758335021,0.011246568253876817,0.0049420380390216585,92,0.01201493633416124,0.6086956521739131,0.03866209791534182,-0.029436203903230776,0.0031571600594419245,0.02087271260888056,0.01151493633416124
IWM,10,CONTINUATION,10,-0.002805874419641208,0.3,0.0029543942701057238,-0.005274561000961321,-0.00671609834052327,0.0011043495012408545,-0.003305874419641208,10,-0.010626653325238355,0.2,0.011929391639597164,-0.016265664566447235,-0.022608096783832195,0.0013547901333554845,-0.011126653325238356,10,-0.0023073674707789647,0.3,0.018671012964908362,-0.01129810194321639,-0.013414608397289477,0.008799873455731546,-0.0028073674707789647,10,-0.002819299873813408,0.2,0.04615126470833886,-0.015061941019351474,-0.02427371881647042,0.018635119068843603,-0.003319299873813408
IWM,11,CHOP_OR_NO_EDGE,126,-0.0004983318321544724,0.5396825396825397,0.011039213766413047,-0.01402510943047501,-0.0034194264765162034,0.0024227628122072587,-0.0009983318321544724,126,-0.0009168465708818448,0.5634920634920635,0.026245043274930494,-0.03598037709911233,-0.0075083989517174925,0.005674705809953802,-0.0014168465708818447,126,-0.0013522104008442,0.5238095238095238,0.036117556879000166,-0.04256895440867301,-0.00953983514694317,0.00683541434525477,-0.0018522104008442,126,0.0031079854064965545,0.5158730158730159,0.05996159807532009,-0.05747373301110228,-0.008785516187857776,0.015001487000850884,0.0026079854064965545
QQQ,0,FAR_FROM_LEVEL,2656,0.0008222716518366875,0.5579819277108434,0.009568444213955252,-0.010297408427299091,0.000307057166634327,0.0013374861370390478,0.00032227165183668744,2656,0.004251337861224261,0.6095632530120482,0.021382025167137338,-0.02253714530066059,0.0031815902093924884,0.005321085513056034,0.003751337861224261,2656,0.008611949088091996,0.6400602409638554,0.03099345865750559,-0.031253189664347134,0.007149448353624674,0.010074449822559318,0.008111949088091996,2656,0.017117443289871987,0.6837349397590361,0.044116102732686374,-0.04130025409375262,0.015176451082997165,0.01905843549674681,0.016617443289871987
QQQ,1,APPROACHING_SUPPORT,40,0.008410770650301127,0.625,0.023785756884916385,-0.017214206407390967,-0.00034501705953799214,0.017166558360140246,0.007910770650301126,40,0.020559650579494215,0.675,0.04820802285471044,-0.03686389183826256,0.005289153702389774,0.035830147456598654,0.020059650579494215,40,0.027192061673232605,0.7,0.05568364866954203,-0.03928830798482272,0.01060583288680408,0.043778290459661126,0.026692061673232605,40,0.04295014633842592,0.7,0.08168374948167956,-0.047428260995832534,0.018254841667363114,0.06764545100948872,0.04245014633842592
QQQ,2,TOUCHING_SUPPORT,41,0.0047069816828201865,0.4878048780487805,0.025742461967769338,-0.015326809064750433,-0.0038816079171469127,0.013295571282787286,0.004206981682820186,41,0.013761839392516888,0.6829268292682927,0.03787659377349437,-0.038177631581896146,-0.0014980447457995805,0.029021723530833356,0.013261839392516888,41,0.022735248895678007,0.6585365853658537,0.056396959202576064,-0.042183763839053964,0.005042920164114156,0.04042757762724186,0.022235248895678007,41,0.03777424745002435,0.6585365853658537,0.0755200367963005,-0.03502120343207965,0.014892797278662637,0.06065569762138606,0.03727424745002435
