symbol,horizon,lookback,cost_bps,min_samples,total_return,max_drawdown,sharpe,trade_count,win_rate,avg_win,avg_loss,exposure_time,benchmark_total_return
SMH,10,126,5.0,5,13.505835854177311,-0.3431170843416247,0.9285582293864968,260,0.6,0.04128853222984633,-0.033219846496094455,0.6315278115132378,38.15130190007037
SMH,10,126,5.0,10,10.980391696973141,-0.343117084341625,0.8849296850573158,250,0.6,0.040771317386036975,-0.03335009651278237,0.6072382803011902,38.15130190007037
SMH,10,126,10.0,5,10.622168677059587,-0.33743643399353995,0.8531684845134173,257,0.5953307392996109,0.041710348066338464,-0.03468228880452459,0.6242409521496235,38.15130190007037
SMH,10,126,10.0,10,9.096668330820346,-0.33743643399353973,0.8221986085836217,248,0.6008064516129032,0.040673434738763406,-0.03473737874862001,0.6023803740587806,38.15130190007037
SMH,10,252,5.0,5,8.632648014734423,-0.29749931141443675,0.7869225695920203,281,0.5871886120996441,0.04009975500229596,-0.03466672802620116,0.6825358270585378,38.15130190007037
SMH,10,252,5.0,10,7.009753018377786,-0.3134649592221793,0.7376090648009247,274,0.5656934306569343,0.04132445856523567,-0.033645196587694666,0.6655331552101045,38.15130190007037
SMH,10,252,10.0,5,7.497136070609697,-0.31750244343181655,0.7499446749389057,275,0.5418181818181819,0.04368414152283284,-0.032071501779995404,0.6679621083313092,38.15130190007037
SMH,10,252,10.0,10,6.42313263013705,-0.3142199963280782,0.7208982798210124,267,0.550561797752809,0.04281785513121288,-0.033147356102286224,0.6485304833616711,38.15130190007037
XLE,5,126,5.0,5,-0.08192381794585046,-0.48220975681654255,0.04562862212491154,331,0.5347432024169184,0.023171889430496515,-0.0258841212177966,0.4019917415593879,1.0210812648758925
XLE,5,126,5.0,10,-0.19406633377276994,-0.49092519572552173,-0.010848200090070294,317,0.5236593059936908,0.023847394427120527,-0.02639336862720826,0.3849890697109546,1.0210812648758925
XLE,5,126,10.0,5,-0.26064855156243416,-0.5067081450292152,-0.03852714353239767,313,0.5175718849840255,0.023722336588958195,-0.02609861089835524,0.38013116346854503,1.0210812648758925
XLE,5,126,10.0,10,-0.35736746463134517,-0.5478638956972344,-0.1001284156652284,299,0.4983277591973244,0.02490792686687536,-0.02640058710512118,0.36312849162011174,1.0210812648758925
XLE,5,252,5.0,5,-0.1671671850155304,-0.5294644420150307,0.009335730681074891,330,0.5242424242424243,0.023675333550401377,-0.025936576073614964,0.4007772649987855,1.0210812648758925
XLE,5,252,5.0,10,-0.23524501309685575,-0.46615686186739913,-0.04387909620458089,312,0.5128205128205128,0.02392745172587072,-0.025856751214473422,0.37891668690794267,1.0210812648758925
XLE,5,252,10.0,5,-0.2846519979695584,-0.5248205759252789,-0.050495777233996786,311,0.5176848874598071,0.024232568019123105,-0.026866575907184196,0.3777022103473403,1.0210812648758925
XLE,5,252,10.0,10,-0.29133797202611733,-0.49437675434913575,-0.07756282570487007,293,0.5051194539249146,0.024793322111162416,-0.02654282320039491,0.35584163225649745,1.0210812648758925
XLE,10,126,5.0,5,0.1807551758925765,-0.4456242320331656,0.14620314153688072,201,0.5472636815920398,0.03486464424625528,-0.03765125614382353,0.48821957736215693,1.0210812648758925
XLE,10,126,5.0,10,0.12577808531509116,-0.4977397359343355,0.12676971557198372,193,0.5284974093264249,0.0351600630428711,-0.03567501560051823,0.4687879523925188,1.0210812648758925
XLE,10,126,10.0,5,-0.03276974834111168,-0.4563901296763281,0.07409548218132568,199,0.5376884422110553,0.03475606983862031,-0.03819094612765901,0.48336167111974737,1.0210812648758925
XLE,10,126,10.0,10,-0.16446187319335304,-0.5502336210228758,0.018336318672781692,191,0.518324607329843,0.035409625021950136,-0.03756136987225937,0.4639300461501093,1.0210812648758925
XLE,10,252,5.0,5,0.31126320706217236,-0.6360553229883719,0.19139737459897757,209,0.5454545454545454,0.03596838281005288,-0.0367891756493965,0.507651202331795,1.0210812648758925
XLE,10,252,5.0,10,0.8925511897574796,-0.3176481811538109,0.3291511805837496,198,0.5555555555555556,0.03456472921025209,-0.03374430952128225,0.48093271799854265,1.0210812648758925
XLE,10,252,10.0,5,-0.10845476585125902,-0.6824578970778041,0.06974341565474361,205,0.5365853658536586,0.0350773230638829,-0.038292140096212776,0.49793538984697594,1.0210812648758925
XLE,10,252,10.0,10,0.39631533854078427,-0.3476687031609752,0.20931502878474545,194,0.5412371134020618,0.03396064627521232,-0.0341338597251755,0.4712169055137236,1.0210812648758925
XLF,5,126,5.0,5,0.08839534830510276,-0.4139962101735759,0.11062345833665511,407,0.542997542997543,0.018502633928933164,-0.020590227101987206,0.4942919601651688,3.283319362950545
XLF,5,126,5.0,10,0.9175977476727559,-0.2831969085845094,0.3724692186247131,391,0.5498721227621484,0.020071092995840128,-0.020031032805804923,0.4748603351955307,3.283319362950545
XLF,5,126,10.0,5,-0.30972069520916123,-0.488794246612381,-0.09059692368119149,389,0.5269922879177378,0.01758726902101535,-0.020713606007970148,0.47243138207432595,3.283319362950545
XLF,5,126,10.0,10,0.22425212834850283,-0.33674332229517745,0.16195586262799022,374,0.5374331550802139,0.019263734780477097,-0.020457765120230474,0.45421423366529023,3.283319362950545
XLF,5,252,5.0,5,0.8916264698231058,-0.31165990091678575,0.34587917437992827,427,0.5480093676814989,0.019252319991042037,-0.019139151413929495,0.5185814913772164,3.283319362950545
XLF,5,252,5.0,10,1.990318639495742,-0.34008600006682665,0.5838681849490839,409,0.5623471882640587,0.019842809046422872,-0.018615128116592796,0.4967209132863736,3.283319362950545
XLF,5,252,10.0,5,0.37865391727414055,-0.3433003019067551,0.21273513025570298,406,0.5221674876847291,0.019613996138885502,-0.018925589908540368,0.49307748360456644,3.283319362950545
XLF,5,252,10.0,10,0.7664544993089013,-0.3289685270653673,0.33596051159668366,388,0.520618556701031,0.020318096498738506,-0.018281269425948363,0.4712169055137236,3.283319362950545
XLF,10,126,5.0,5,1.64346407105888,-0.333791127304483,0.4840645570591401,257,0.5836575875486382,0.0268367541251047,-0.026932315076659337,0.6242409521496235,3.283319362950545
