date,symbol,current_state,markov_weighted_ev,coverage,weighted_samples
2021-09-22,SPY,0,0.005260488525987683,0.9746543300633259,102.19694120610708
2021-09-23,SPY,0,0.005289139290158134,0.9746543300633259,102.19694120610708
2021-09-24,SPY,0,0.00545661933875222,0.9746543300633259,102.19694120610708
2021-09-27,SPY,0,0.005639621768165901,0.9746543300633259,102.19694120610708
2021-09-28,SPY,0,0.00575012410397699,0.9746543300633259,102.19694120610708
2021-09-29,SPY,0,0.005655780963269096,0.9746543300633259,102.19694120610708
2021-09-30,SPY,0,0.00559516173799148,0.9746543300633259,102.19694120610708
2021-10-01,SPY,0,0.005294767262991994,0.9746543300633259,102.19694120610708
2021-10-04,SPY,0,0.005020292949814467,0.9746543300633259,102.19694120610708
2021-10-05,SPY,0,0.004816834066369662,0.9746543300633259,102.19694120610708
2021-10-06,SPY,0,0.004738782648213656,0.9746543300633259,102.19694120610708
2021-10-07,SPY,0,0.004710029981043525,0.9746543300633259,102.19694120610708
2021-10-08,SPY,0,0.004730110405862233,0.9746543300633259,102.19694120610708
2021-10-11,SPY,0,0.004679815212973821,0.9746543300633259,102.19694120610708
2021-10-12,SPY,0,0.004572609024541999,0.9746543300633259,102.19694120610708
2021-10-13,SPY,0,0.00441695015279895,0.9746543300633259,102.19694120610708
2021-10-14,SPY,0,0.004223990442466315,0.9746543300633259,102.19694120610708
2021-10-15,SPY,0,0.004170995090503059,0.9746543300633259,102.19694120610708
2021-10-18,SPY,0,0.004203224824789138,0.9746543300633259,102.19694120610708
2021-10-19,SPY,6,0.004021912228588327,0.9572700106794833,96.96909718062825
2021-10-20,SPY,5,0.004277400983220176,0.9557870124009447,96.95544044863846
2021-10-21,SPY,5,0.004516148365303431,0.9557870124009447,96.95544044863846
2021-10-22,SPY,5,0.004678395820960955,0.9557870124009447,96.95544044863846
2021-10-25,SPY,0,0.005151058771476969,0.9746543300633259,102.19694120610708
2021-10-26,SPY,0,0.005250441598761558,0.9746543300633259,102.19694120610708
2021-10-27,SPY,0,0.005321819394789061,0.9741356690816423,100.82720025093722
2021-10-28,SPY,5,0.005012048833127605,0.9555165428904457,95.1516903845123
2021-10-29,SPY,0,0.005640930182067342,0.9741507576986935,99.40195774610316
2021-11-01,SPY,0,0.005881266757478162,0.9741847223053735,98.67597177222969
2021-11-02,SPY,0,0.006180815151035691,0.9745683177655371,98.90874873667292
2021-11-03,SPY,7,0.00047649777947386825,0.688301559940294,34.51617161681441
2021-11-04,SPY,10,0.0010837806203886971,0.716367223113892,40.81123369499237
2021-11-05,SPY,8,0.0017685928414187461,0.7520376243242203,48.49411546695386
2021-11-08,SPY,9,0.0029512305491263442,0.8147734971982808,62.61321516884569
2021-11-09,SPY,9,0.002816249656102126,0.8147734971982808,62.61321516884569
2021-11-10,SPY,9,0.002658607183237471,0.8147734971982808,62.61321516884569
2021-11-11,SPY,9,0.002486621017494871,0.8106055176783349,61.49079127031243
2021-11-12,SPY,0,0.005133053787216822,0.9611843361304934,94.1976993599921
2021-11-15,SPY,6,0.004868346742684132,0.9488566134014461,90.04446621945064
2021-11-16,SPY,5,0.0048375978669568985,0.945860405550042,89.96692440902987
2021-11-17,SPY,6,0.004734272300377335,0.9455383173500166,89.18588005452487
2021-11-18,SPY,5,0.004858453422256147,0.9657096927965972,88.66967227456195
2021-11-19,SPY,6,0.004899552903268165,0.9655237042197177,87.96624718264049
2021-11-22,SPY,6,0.004893403464691287,0.96578935336036,88.44394861998349
2021-11-23,SPY,0,0.005057552212580147,0.9679867073865708,91.18894957303111
2021-11-24,SPY,0,0.005101391327527709,0.9679484913418146,91.26288630040513
2021-11-26,SPY,0,0.005048805046347375,0.9677117805368388,90.50695028079144
2021-11-29,SPY,0,0.004869275465985016,0.9676620625332927,89.89820727609612
2021-11-30,SPY,0,0.004763611932155345,0.9677216802566376,89.0161481941901
2021-12-01,SPY,0,0.004572305155313279,0.9677288878193389,88.21515198365427
2021-12-02,SPY,0,0.00435761784239651,0.9682984036938082,89.03627763519867
2021-12-03,SPY,0,0.004204409011487126,0.9683049227493054,89.70761457958183
2021-12-06,SPY,0,0.004104885671037204,0.968311392669623,90.39562083979696
2021-12-07,SPY,6,0.00387442710333732,0.9659397902884144,88.10115222528093
2021-12-08,SPY,6,0.0038693941958384526,0.9655700120669037,88.18378440117439
2021-12-09,SPY,6,0.004036615129140321,0.9658505493188313,88.72180853801245
2021-12-10,SPY,5,0.004114179171736968,0.9658623275607302,88.92255225992616
2021-12-13,SPY,6,0.004228166387364208,0.965433819691573,89.47103122245304
2021-12-14,SPY,0,0.004532517746820156,0.9685479773222173,93.54054859871678
2021-12-15,SPY,5,0.004312152613870743,0.9649547642941947,88.30145327350783
2021-12-16,SPY,6,0.00434089629337795,0.9651103727599596,88.24796753597784
2021-12-17,SPY,0,0.004455694763519898,0.9679178931743567,90.8412965627525
2021-12-20,SPY,0,0.004290167900582914,0.9678003545027004,90.15741899022025
2021-12-21,SPY,0,0.004152217175546388,0.9679301812035578,89.32680062788866
2021-12-22,SPY,6,0.004036329347792526,0.96591331915294,87.14437145336285
2021-12-23,SPY,5,0.0040103191571060235,0.9653494986335207,86.04839985441981
2021-12-27,SPY,7,0.0030069123930938375,0.9375349131419778,38.10847892092815
2021-12-28,SPY,8,0.003518859579840509,0.9453610326501789,52.60620460377351
2021-12-29,SPY,8,0.003591715007996186,0.9452501836024412,52.66173369345612
2021-12-30,SPY,8,0.003638855712109865,0.9452501836024412,52.66173369345612
2021-12-31,SPY,9,0.004019455916954661,0.9527537342346539,64.63094486767854
2022-01-03,SPY,8,0.003638683240200653,0.9451957514363168,51.955712388158126
2022-01-04,SPY,5,0.004337651964778091,0.9570177803336921,81.25762277661917
2022-01-05,SPY,0,0.0046264080128654425,0.9634373580350827,86.08485445355167
2022-01-06,SPY,0,0.004578060210925239,0.9633700381479309,85.37657336956026
2022-01-07,SPY,0,0.004478279222767841,0.9632922987273141,84.67416526618281
2022-01-10,SPY,0,0.004402704576586745,0.9631776345669686,83.95679382588965
2022-01-11,SPY,0,0.004259550986665109,0.9630342957715082,83.25680783916155
2022-01-12,SPY,0,0.004125813836888085,0.962924944665941,82.82014319206884
2022-01-13,SPY,0,0.004094183109409473,0.963376492053968,83.03504845450914
2022-01-14,SPY,0,0.004069676826075295,0.963376492053968,83.03504845450914
2022-01-18,SPY,0,0.004154608648125534,0.9636600879025057,83.71570028884419
2022-01-19,SPY,0,0.004068359505016854,0.9636770285144479,84.45152278602728
2022-01-20,SPY,0,0.0038648383558557496,0.9639272159723462,85.16191128317278
2022-01-21,SPY,0,0.003561192361984702,0.9636828837298118,85.8929104036462
2022-01-24,SPY,0,0.003241192249627723,0.9635119170352183,86.07342216152462
2022-01-25,SPY,0,0.0029240519967078534,0.9638301073313739,86.83365259670325
2022-01-26,SPY,0,0.002720810145227479,0.970385415043946,88.39518350755347
2022-01-27,SPY,0,0.0025253424173518274,0.9680605558667024,89.07357814620578
2022-01-28,SPY,0,0.002383479745107212,0.9681550388969468,89.81690040368338
2022-01-31,SPY,0,0.002465349639540873,0.9682434017052689,90.56516004623934
2022-02-01,SPY,0,0.002590255692618286,0.9683250827325905,91.31861317344013
2022-02-02,SPY,0,0.0027614146049385214,0.968410367873328,92.06732851521816
2022-02-03,SPY,0,0.0029790780759543717,0.9685345142870125,92.79669862697548
2022-02-04,SPY,0,0.0030357229668727015,0.9685345142870125,92.79669862697548
2022-02-07,SPY,0,0.002894035857143558,0.9685345142870125,92.79669862697548
2022-02-08,SPY,0,0.0027142048580243707,0.968552603946978,93.58439344197747
2022-02-09,SPY,0,0.0026025422208110142,0.9685896101507389,94.43711128964748
2022-02-10,SPY,0,0.0025030301625905238,0.9686357081812931,94.66362964953434
2022-02-11,SPY,0,0.0024784211644557005,0.9686357081812931,94.66362964953434
2022-02-14,SPY,0,0.002342173300379227,0.9686357081812931,94.66362964953434
2022-02-15,SPY,0,0.002278142865794372,0.969271801404988,95.48633632320103
2022-02-16,SPY,0,0.0022068339573559363,0.9692716413973175,96.26673587066406
2022-02-17,SPY,0,0.0020925260323080837,0.9692720042323683,97.0629307432599
2022-02-18,SPY,0,0.0019506936380507905,0.9687961832017564,97.21283240653513
2022-02-22,SPY,0,0.0019848460711332314,0.9694755365272091,98.10112643516193
2022-02-23,SPY,2,0.0013967433937388427,0.9299974321413135,59.96152209815589
2022-02-24,SPY,1,0.0012743309319903945,0.9299176643862248,60.36395012457844
2022-02-25,SPY,0,0.001586390953089079,0.9689649711830772,99.92549949021034
2022-02-28,SPY,0,0.0017023974552125634,0.9689649711830772,99.92549949021034
2022-03-01,SPY,0,0.0016977275294557527,0.9689649711830772,99.92549949021034
2022-03-02,SPY,0,0.0017357056332577754,0.969690633814801,100.88006534220334
2022-03-03,SPY,0,0.0018016986068093489,0.9592005838347317,98.2337783715352
2022-03-04,SPY,0,0.0018682318732120506,0.9539488254755273,97.11214052964385
2022-03-07,SPY,1,0.0018315452511227478,0.9607465733859671,101.52622964061898
2022-03-08,SPY,1,0.0017297370335321704,0.9608892277195523,101.8338719586646
2022-03-09,SPY,0,0.0015594278216120125,0.9599311561274332,99.6225110750716
2022-03-10,SPY,0,0.001359015877991075,0.9599311561274332,99.6225110750716
2022-03-11,SPY,1,0.0010606485598992472,0.9608892277195523,101.8338719586646
2022-03-14,SPY,1,0.0008095394507484368,0.9608892277195523,101.8338719586646
2022-03-15,SPY,0,0.0006245115821799487,0.955471371395979,99.55034513819894
2022-03-16,SPY,0,0.0005378362127906304,0.9459541838473529,98.56718441889564
2022-03-17,SPY,0,0.0005600641822540682,0.9507256337459911,99.78318923555496
2022-03-18,SPY,0,0.0007436136119056792,0.9507570710052926,100.66089572729416
2022-03-21,SPY,0,0.0007876209730645187,0.9437938918223698,99.48147495911427
2022-03-22,SPY,0,0.0008324944528097588,0.9372918336254985,98.87754268099857
2022-03-23,SPY,0,0.0011443405308831677,0.9414213515177099,100.07806732198215
2022-03-24,SPY,0,0.001323539325034219,0.9411086028937545,100.22660480625404
2022-03-25,SPY,0,0.0014380374786767372,0.9411086028937545,100.22660480625404
2022-03-28,SPY,0,0.0014474901829273753,0.9415853071623889,101.30390653740079
2022-03-29,SPY,0,0.001528239541569316,0.9412560005277454,101.4418375405786
2022-03-30,SPY,0,0.0015866623136373051,0.9412560005277454,101.4418375405786
2022-03-31,SPY,0,0.0016347297169038264,0.9412560005277454,101.4418375405786
2022-04-01,SPY,0,0.0015266259352884474,0.9417751940486762,102.58411587729762
2022-04-04,SPY,0,0.0014267985565409255,0.9418265725893386,103.51374521848903
2022-04-05,SPY,0,0.0013243010338478513,0.9413170269949427,104.4492163309326
2022-04-06,SPY,0,0.0011120850628896406,0.9419346806852091,105.42997164323171
2022-04-07,SPY,0,0.0008850656085077914,0.9481485479336303,107.23521150502593
2022-04-08,SPY,0,0.0008512540727884298,0.9493592346910871,108.13627129303347
2022-04-11,SPY,0,0.0007924644347738372,0.9495985278446745,109.00686460192883
2022-04-12,SPY,0,0.0005988389071350024,0.9497628849377808,109.86760053038479
2022-04-13,SPY,0,0.0004507876545683866,0.9499190440269508,110.73256104482759
2022-04-14,SPY,0,0.00038278779168570397,0.9512598223571901,111.62120623612023
2022-04-18,SPY,0,0.00027130264479962267,0.9514851718329111,112.49719741410567
2022-04-19,SPY,0,0.0001580698669842255,0.9516732131865263,113.37407118562906
2022-04-20,SPY,0,0.00018379343414553747,0.9519343801593916,114.24585479575083
2022-04-21,SPY,0,0.00024161330869472896,0.9525104328071736,115.12966466443514
2022-04-22,SPY,0,0.0001872610762387495,0.9527258162970141,116.01067951349512
2022-04-25,SPY,0,0.0002371782283550795,0.9341651167852347,116.71820181743954
2022-04-26,SPY,1,0.00010378865988906787,0.9319847737140257,121.39339098223323
2022-04-27,SPY,1,-0.00018874123757422708,0.9322924557831096,122.29721164766103
2022-04-28,SPY,0,-0.0004381007399016474,0.928613578241679,119.33710194051997
